ID;Name;Name2;Groesse;Typ;Beschreibung;Bereich;Ballspielplatz;Skater;Streetball;Latitude;Longitude
734;Sp Helene-Weigel-Weg, Alt: Einkaufzentrum Meesenstiege;Helene-Weigel-Weg, Alt: Einkaufzentrum Meesenstiege;4460;4;4 - Zentraler Spielplatz;A+B/C;integriert;;ja;7.622705717603383; 51.902210942087102
735;Sp K�sliner Strasse;K�sliner Strasse;1580;2;2 - Wohngebietsspielplatz;B/C;;;;7.645528550026746; 51.977256462692161
736;Sp Drensteinfurtweg;Drensteinfurtweg;1460;2;2 - Wohngebietsspielplatz;B/C;;;;7.603382340154272; 51.927941169212382
737;Sp K�rnerstrasse;K�rnerstrasse;615;2;2 - Wohngebietsspielplatz;B/C;;;;7.61673169515026; 51.952923834082469
738;Sp Emil-Nolde-Weg;Emil-Nolde-Weg;625;2;2 - Wohngebietsspielplatz;B/C;;;;7.677433276691096; 51.900483359250302
739;Sp Meinertzstrasse;Meinertzstrasse;800;2;2 - Wohngebietsspielplatz;B/C;;;;7.596294211643109; 52.002314255735662
740;Sp Fresnostrasse           (Ballspielplatz);Fresnostrasse           (Ballspielplatz);1055;3;3 - Alle Altersklassen;A;separat;;ja;7.61022796455164; 51.985456023384657
741;Sp Gelmerheide;Gelmerheide;582;2;2 - Wohngebietsspielplatz;B/C;;;;7.670922076734082; 52.028075920057226
742;Sp Werseaue;Werseaue;1014;2;2 - Wohngebietsspielplatz;B/C;;;;7.699961232857008; 51.983819551519218
743;Sp An Der Vogelrute;An Der Vogelrute;797;2;2 - Wohngebietsspielplatz;B/C;;;;7.724649293454966; 51.911951620821334
746;Sp Steveninkstrasse;Steveninkstrasse;1836;2;2 - Wohngebietsspielplatz;B/C;;;;7.621352957201146; 51.946425680207099
747;Sp Gottfried-Von-Cappenberg-Schule, Glatzer Weg 9;Gottfried-Von-Cappenberg-Schule, Glatzer Weg 9;480;2;2 - Wohngebietsspielplatz;B/C;;;;7.61162115788928; 51.933746020971654
748;Sp Hansaplatz;Hansaplatz;3300;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.644897669574879; 51.955210528779169
749;Sp Appelbreistiege;Appelbreistiege;725;2;2 - Wohngebietsspielplatz;B/C;;;;7.58391821142722; 51.966672324345339
750;Sp Am Tinnenbusch;Am Tinnenbusch;635;2;2 - Wohngebietsspielplatz;B/C;;;;7.530528916960129; 51.918605920607767
751;Sp Pictoriusstrasse (Begegnungsraum);Pictoriusstrasse (Begegnungsraum);1699;2;2 - Wohngebietsspielplatz;B/C;;;;7.621016369131665; 51.925605280723744
752;Sp Josefschule, Hermannstrasse 58;Josefschule, Hermannstrasse 58;950;2;2 - Wohngebietsspielplatz;B/C;;;Balltrichter;7.623808507583127; 51.950786646556388
753;Sp Sch�tzenhof;Sch�tzenhof;1613;2;2 - Wohngebietsspielplatz;B/C;integriert;;ja;7.624322296917812; 51.945399793470429
831;Sp Maximilianstrasse-S�d;Maximilianstrasse-S�d;740;2;2 - Wohngebietsspielplatz;B/C;;;;7.632876536463765; 51.97021654692157
832;Sp Drei Eichen             (Ballspielplatz);Drei Eichen             (Ballspielplatz);800;2;2 - Wohngebietsspielplatz;B/C;separat;;;7.712761563428638; 51.994817503113872
833;Sp Haus Angelmodde;Haus Angelmodde;915;2;2 - Wohngebietsspielplatz;B/C;;;;7.70135574563998; 51.920415504520342
836;Sp M�hlenstrasse;M�hlenstrasse;3040;4;4 - Zentraler Spielplatz;A+B/C;;;;7.620498499827576; 51.95911584327348
837;Sp Hegerskamp;Hegerskamp;2946;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.672341817256887; 51.948035921197466
840;Sp Am Pastorenbusch;Am Pastorenbusch;3185;3;3 - Alle Altersklassen;A;integriert;;ja;7.558854947870858; 51.991382361460758
841;Sp Dreifaltigkeitsschule;Dreifaltigkeitsschule;959;2;2 - Wohngebietsspielplatz;B/C;;;Balltrichter;7.615088594378264; 51.974637696817375
842;Sp Alsenstrasse;Alsenstrasse;1505;2;2 - Wohngebietsspielplatz;B/C;;;;7.642629946098321; 51.96961923666435
843;Sp Eichenweg S�d;Eichenweg S�d;488;2;2 - Wohngebietsspielplatz;B/C;;;;7.540277430763528; 51.949251036884981
848;Sp Admiral-Spee-Strasse;Admiral-Spee-Strasse;950;2;2 - Wohngebietsspielplatz;B/C;;;;7.662145542157645; 51.967613372265696
849;Sp Engelenschanze;Engelenschanze;140;1;1 - Kleinkindspielplatz;C;;;;7.630806836502447; 51.95742048531401
850;Sp Rinkerodeweg;Rinkerodeweg;417;2;2 - Wohngebietsspielplatz;B/C;;;;7.604247049162259; 51.932876914989308
851;Sp Sch�ppingenweg;Sch�ppingenweg;417;2;2 - Wohngebietsspielplatz;B/C;;;;7.577476707593776; 51.973425695083549
852;Sp Agathastrasse;Agathastrasse;991;2;2 - Wohngebietsspielplatz;B/C;;;;7.687743839998749; 51.929612223608487
853;Sp V�gedingplatz;V�gedingplatz;3681;4;4 - Zentraler Spielplatz;A+B/C;;;;7.551290834806832; 51.996143197460761
854;Sp Am Haus Nienberge;Am Haus Nienberge;750;2;2 - Wohngebietsspielplatz;B/C;;;;7.556620968169012; 51.998833111192191
855;Sp Max-Reger-Strasse;Max-Reger-Strasse;914;2;2 - Wohngebietsspielplatz;B/C;;;;7.640893909134845; 51.908111729001703
856;Sp Trinitatiskirche, Strassburger Weg;Trinitatiskirche, Strassburger Weg;1160;2;2 - Wohngebietsspielplatz;B/C;;;;7.622108416858097; 51.943603267827626
857;Sp Dauvem�hle;Dauvem�hle;1138;2;2 - Wohngebietsspielplatz;B/C;;;;7.600264198868393; 51.989409699591278
858;Sp Dyckburgstrasse;Dyckburgstrasse;582;2;2 - Wohngebietsspielplatz;B/C;;;;7.690867523621678; 51.995672881612926
859;Sp K�sters K�mpken;K�sters K�mpken;785;2;2 - Wohngebietsspielplatz;B/C;;;;7.540421755734468; 51.951976239257903
860;Sp Dahlienweg;Dahlienweg;656;2;2 - Wohngebietsspielplatz;B/C;;;;7.667940454838578; 51.902129044884319
861;Sp Tannenbergstrasse;Tannenbergstrasse;963;2;2 - Wohngebietsspielplatz;B/C;integriert;;;7.628548562496127; 51.97375249055294
862;Sp Gasselstiege - S�d;Gasselstiege - S�d;590;2;2 - Wohngebietsspielplatz;B/C;;;;7.611207270093483; 51.971194532193586
863;Sp Fernholzstrasse;Fernholzstrasse;2100;4;4 - Zentraler Spielplatz;A+B/C;integriert;;ja;7.590815595256283; 51.993593400049036
864;Sp Am Naturdenkmal;Am Naturdenkmal;1895;3;3 - Alle Altersklassen;A;;;;7.618472803344177; 51.927957329991408
865;Sp Auf Dem Draun;Auf Dem Draun;2353;2;2 - Wohngebietsspielplatz;B/C;;;;7.593083489273975; 51.952778648447804
866;Sp Marienschule;Marienschule;500;2;2 - Wohngebietsspielplatz;B/C;;;;7.531343349742035; 51.954694693137114
867;Sp Gartenstiege;Gartenstiege;1971;2;2 - Wohngebietsspielplatz;B/C;;;;7.561346507246969; 51.997686482322983
868;Sp Killingstrasse;Killingstrasse;786;2;2 - Wohngebietsspielplatz;B/C;;;;7.594060900519417; 51.999690098373001
869;Sp Im Dahl;Im Dahl;2664;3;3 - Alle Altersklassen;A;integriert;;ja;7.640311865133725; 51.913434970756867
870;Sp Patronatsstrasse;Patronatsstrasse;550;2;2 - Wohngebietsspielplatz;B/C;;;;7.638534395109736; 51.904920654411342
871;Sp Freiburger Weg;Freiburger Weg;668;2;2 - Wohngebietsspielplatz;B/C;;;;7.618723022395569; 51.941127850205149
872;Sp P�tterhoek;P�tterhoek;1364;2;2 - Wohngebietsspielplatz;B/C;;;;7.6557062424528; 51.972249820241117
873;Sp Am Hof Schultmann;Am Hof Schultmann;700;2;2 - Wohngebietsspielplatz;B/C;;;;7.578168154520808; 51.928079942861963
874;Sp S�dpark;S�dpark;15765;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.629918720249489; 51.948844525726457
876;Sp Gut Insel;Gut Insel;6086;4;4 - Zentraler Spielplatz;A+B/C;integriert;;ja;7.614293261613516; 51.937633384386217
877;Sp B�ttcherstrasse;B�ttcherstrasse;1500;2;2 - Wohngebietsspielplatz;B/C;;;;7.620277262231626; 51.905121644274921
878;Sp Wilhelmstrasse;Wilhelmstrasse;4269;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.610508855168252; 51.966952917734886
879;Sp Josefine-Mauser-Strasse;Josefine-Mauser-Strasse;1696;2;2 - Wohngebietsspielplatz;B/C;;;;7.650551672710452; 51.990769139023826
880;Sp Am Loddenbach           (Ballspielplatz);Am Loddenbach           (Ballspielplatz);2060;3;3 - Alle Altersklassen;A;separat;;ja;7.679923450156998; 51.935510888917783
881;Sp Wiener Strasse;Wiener Strasse;761;2;2 - Wohngebietsspielplatz;B/C;integriert;;;7.652582735318575; 51.969643573287748
882;Sp Malteserstrasse;Malteserstrasse;3100;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.635339685916398; 51.897171848687925
883;Sp Elbestrasse;Elbestrasse;1425;2;2 - Wohngebietsspielplatz;B/C;;;;7.656788955279527; 51.969619686078779
884;Sp Haus Wiek;Haus Wiek;2800;3;3 - Alle Altersklassen;A;;;ja;7.523215211230185; 51.916015715179725
885;Sp Sternbusch;Sternbusch;2700;3;3 - Alle Altersklassen;A;;;;7.618589121142092; 51.929378817351093
886;Sp Von-Einem-Strasse;Von-Einem-Strasse;1743;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.609206557656196; 51.982711607265237
887;Sp Breslauer Strasse;Breslauer Strasse;2223;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.644262040485074; 51.993671993286682
888;Sp Kiebitzweg;Kiebitzweg;795;2;2 - Wohngebietsspielplatz;B/C;;;;7.662201425064318; 51.90848150744042
891;Sp Althausweg;Althausweg;2000;3;3 - Alle Altersklassen;A;;;;7.604355763558825; 51.991732195666003
892;Sp Am Dill;Am Dill;785;2;2 - Wohngebietsspielplatz;B/C;;;;7.565457921656107; 51.930927886559211
893;Sp Wilkinghege             (Ballspielplatz);Wilkinghege             (Ballspielplatz);1800;3;3 - Alle Altersklassen;A;;;;7.596124260184176; 51.988183025322279
894;Sp Hoher Hainweg;Hoher Hainweg;1000;2;2 - Wohngebietsspielplatz;B/C;integriert;;;7.610635475166645; 51.928934741043918
895;Sp R�pingstrasse;R�pingstrasse;815;2;2 - Wohngebietsspielplatz;B/C;;;;7.607253869599354; 51.938143589618157
896;Sp Kappenberger Damm;Kappenberger Damm;525;2;2 - Wohngebietsspielplatz;B/C;;;;7.610147021296986; 51.938636151250485
897;Sp Nerzweg;Nerzweg;4277;4;4 - Zentraler Spielplatz;A+B/C;integriert;ja;ja;7.641063054949025; 51.999791937188604
898;Sp Stadtpark Wienburg;Stadtpark Wienburg;6000;3;3 - Alle Altersklassen;A;integriert;ja;;7.626692735409952; 51.979240550697106
899;Sp Tomkotten;Tomkotten;2150;3;3 - Alle Altersklassen;A;integriert;;ja;7.706894029166227; 51.983176788338724
900;Sp Alter Zoo;Alter Zoo;2380;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.612231766355482; 51.961104006470968
901;Sp Weseler Strasse;Weseler Strasse;3330;3;3 - Alle Altersklassen;A;integriert;;;7.610368812320474; 51.943699074449952
902;Sp Studtstrasse;Studtstrasse;819;2;2 - Wohngebietsspielplatz;B/C;;;;7.618288423000763; 51.968545399545924
905;Sp Mauritz-Lindenweg;Mauritz-Lindenweg;1612;4;4 - Zentraler Spielplatz;A+B/C;;;ja;7.658347144489674; 51.960802200148763
906;Sp Am Kanonengraben;Am Kanonengraben;1839;2;2 - Wohngebietsspielplatz;B/C;;;;7.620673094947724; 51.956268666450526
907;Sp Aasee: Torminbr�cke;Aasee: Torminbr�cke;1900;3;3 - Alle Altersklassen;A;integriert;;;7.602529830947735; 51.951192316654975
908;Sp Middelfeld;Middelfeld;1917;2;2 - Wohngebietsspielplatz;B/C;;;;7.709323569835635; 51.989306244142583
909;Sp Bernhard-Poether-Strasse;Bernhard-Poether-Strasse;654;2;2 - Wohngebietsspielplatz;B/C;;;;7.625654627868761; 51.908429237981558
910;Sp Von-Holte-Strasse;Von-Holte-Strasse;645;2;2 - Wohngebietsspielplatz;B/C;;;;7.716625515245688; 51.913023921387634
911;Sp Tulpenweg;Tulpenweg;748;2;2 - Wohngebietsspielplatz;B/C;;;;7.663345705825917; 51.903218476148446
912;Sp Soester Strasse;Soester Strasse;888;2;2 - Wohngebietsspielplatz;B/C;;;;7.637727455109521; 51.953716723421657
913;Sp Friedrich-Ebert-Strasse (Streetballplatz);Friedrich-Ebert-Strasse (Streetballplatz);932;2;2 - Wohngebietsspielplatz;B/C;separat;;ja;7.631709363850017; 51.951184258704089
914;Sp Park Sentmaring             (Ballspielplatz);Park Sentmaring             (Ballspielplatz);750;4;4 - Zentraler Spielplatz;A+B/C;separat;;;7.614498437402277; 51.945140867220488
915;Sp Hubertistrasse;Hubertistrasse;2942;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.650328708398482; 51.953592096259896
917;Sp An Der Meerwiese-Mitte;An Der Meerwiese-Mitte;;;;;;;;7.650423733587914; 51.988727397321327
920;Sp Kemperweg;Kemperweg;2200;4;4 - Zentraler Spielplatz;A+B/C;;;;7.640645727538758; 51.989522822975566
921;Sp D�esbergweg;D�esbergweg;1700;3;3 - Alle Altersklassen;A;;;;7.609088188030244; 51.930075950260559
922;Sp Rincklakeweg;Rincklakeweg;1082;2;2 - Wohngebietsspielplatz;B/C;;;;7.617680153108822; 51.92583582176816
923;Sp Mergelberg-S�d;Mergelberg-S�d;3043;2;2 - Wohngebietsspielplatz;B/C;;;;7.561715180449355; 51.965702332976733
924;Sp Coerdeplatz;Coerdeplatz;2377;4;4 - Zentraler Spielplatz;A+B/C;;;;7.629348855094757; 51.967551057770571
925;Sp Dunantstrasse;Dunantstrasse;1023;2;2 - Wohngebietsspielplatz;B/C;;;;7.610673862546115; 51.94606654401283
926;Sp Willingrott;Willingrott;880;2;2 - Wohngebietsspielplatz;B/C;;;;7.714381832895813; 52.003832109093977
927;Sp Diepenbrockstrasse;Diepenbrockstrasse;729;2;2 - Wohngebietsspielplatz;B/C;;;;7.640546934384855; 51.958135461300593
928;Sp Schwarzer Kamp;Schwarzer Kamp;1333;2;2 - Wohngebietsspielplatz;B/C;;;;7.568103469141613; 51.926376108154201
929;Sp Schulte-Bernd-Strasse;Schulte-Bernd-Strasse;552;2;2 - Wohngebietsspielplatz;B/C;;;;7.531891942175583; 51.952148890009241
930;Sp Holsenkampweg;Holsenkampweg;677;2;2 - Wohngebietsspielplatz;B/C;;;;7.667980374801417; 51.9052034309425
931;Sp Kleimannstrasse;Kleimannstrasse;1660;4;4 - Zentraler Spielplatz;A+B/C;;;;7.618177747832305; 51.967411605553174
932;Sp Hoffmann-Von-Fallersleben-Weg;Hoffmann-Von-Fallersleben-Weg;575;2;2 - Wohngebietsspielplatz;B/C;;;;7.63373257876969; 51.90178211503342
933;Sp Franz-Marc-Weg;Franz-Marc-Weg;625;2;2 - Wohngebietsspielplatz;B/C;;;;7.672349922353158; 51.899922823861743
934;Sp Fritz-P�tter-Strasse;Fritz-P�tter-Strasse;634;2;2 - Wohngebietsspielplatz;B/C;;;;7.627700189727629; 51.936693769425659
935;Sp Korbmacherweg;Korbmacherweg;3268;4;4 - Zentraler Spielplatz;A+B/C;;;;7.527384809361981; 51.952524071916869
936;Sp Martin-Niem�ller-Strasse;Martin-Niem�ller-Strasse;800;2;2 - Wohngebietsspielplatz;B/C;;;;7.602823678338004; 51.991372498494549
937;Sp Am Berler Kamp;Am Berler Kamp;1433;2;2 - Wohngebietsspielplatz;B/C;;;;7.718946036945668; 51.917794875545304
938;Sp Parkallee;Parkallee;1462;2;2 - Wohngebietsspielplatz;B/C;;;;7.680726995617543; 51.961180735723829
939;Sp M�llmannsweg;M�llmannsweg;3000;4;4 - Zentraler Spielplatz;A+B/C;integriert;ja;ja;7.585481441877317; 51.962772287701199
940;Sp Nienkamp;Nienkamp;1538;2;2 - Wohngebietsspielplatz;B/C;integriert;;;7.61446723847716; 51.98440939425538
941;Sp Winkelheide;Winkelheide;1098;2;2 - Wohngebietsspielplatz;B/C;;;;7.674948631868416; 52.028399870641046
942;Sp Schulcampus Roxel;Schulcampus Roxel;;;;;;;;7.528403942581511; 51.954720932262923
943;Sp H�lderlinweg;H�lderlinweg;800;2;2 - Wohngebietsspielplatz;B/C;;;;7.629089407978644; 51.900137255423125
944;Sp Melchersstrasse;Melchersstrasse;2075;2;2 - Wohngebietsspielplatz;B/C;;;ja;7.616252390529032; 51.971343761469129
945;Sp Weserstrasse;Weserstrasse;;;;;;;;7.660676936933501; 51.970508810633369
949;Sp Am Edelbach;Am Edelbach;2111;4;4 - Zentraler Spielplatz;A+B/C;;;;7.654559522770757; 51.994032657870306
950;Sp Hamannplatz;Hamannplatz;2400;4;4 - Zentraler Spielplatz;A+B/C;;;;7.648145351697914; 51.994777178110759
951;Sp Carlo-Schmid-Weg;Carlo-Schmid-Weg;236;1;1 - Kleinkindspielplatz;C;;;;7.595031006323197; 51.998470304713251
952;Sp Eimermacherweg;Eimermacherweg;800;2;2 - Wohngebietsspielplatz;B/C;;;;7.593051665566877; 51.995184033883973
953;Sp Juffernkamp;Juffernkamp;865;2;2 - Wohngebietsspielplatz;B/C;;;;7.730538286446685; 51.913390413191912
954;Sp Breite Lindel           (Ballspielplatz);Breite Lindel           (Ballspielplatz);950;4;4 - Zentraler Spielplatz;A+B/C;separat;;;7.643041549566585; 51.987321402274219
957;Sp Rjasanstrasse;Rjasanstrasse;3395;3;3 - Alle Altersklassen;A;;;;7.633686835300138; 51.97228420698849
958;Sp Drei Eichen, Mitte;Drei Eichen, Mitte;243;2;2 - Wohngebietsspielplatz;B/C;;;;7.712232940476344; 51.995989148844281
959;Sp Feldstiegenkamp;Feldstiegenkamp;1863;2;2 - Wohngebietsspielplatz;B/C;;;;7.601419116272568; 51.998609190707647
960;Sp Zur Walbeke;Zur Walbeke;981;2;2 - Wohngebietsspielplatz;B/C;;;;7.739374014780295; 51.919129800090758
961;Sp Christoph-Bernhard-Graben (Sp Westenkamp);Christoph-Bernhard-Graben (Sp Westenkamp);3792;3;3 - Alle Altersklassen;A;integriert;;;7.57362424735902; 51.930164190931904
962;Sp Hiltruper See;Hiltruper See;2918;3;3 - Alle Altersklassen;A;integriert;;;7.654522085188216; 51.885815819068384
963;Sp Im Moorhook;Im Moorhook;1200;2;2 - Wohngebietsspielplatz;B/C;;;;7.604014584533858; 51.988186864612707
964;Sp Bruchfeldweg;Bruchfeldweg;485;2;2 - Wohngebietsspielplatz;B/C;;;;7.561109413735057; 51.974629125973799
965;Sp Scheibenstrasse;Scheibenstrasse;790;2;2 - Wohngebietsspielplatz;B/C;;;ja;7.626961099944843; 51.93899509970548
966;Sp Hacklenburg;Hacklenburg;838;2;2 - Wohngebietsspielplatz;B/C;;;;7.647778065325731; 51.982791950817514
967;Sp  Anton-Aulke-Strasse; Anton-Aulke-Strasse;;;;;;;;7.720940958309674; 51.908963323982555
968;Sp Sentruper H�he (Theresienschule);Sentruper H�he (Theresienschule);;;;;;;;7.593929541310397; 51.955961550334848
969;Sp Oststrasse;Oststrasse;2608;4;4 - Zentraler Spielplatz;A+B/C;;;;7.646693405576888; 51.9622508355855
970;Sp Buxtrup;Buxtrup;2975;3;3 - Alle Altersklassen;A;integriert;;ja;7.71764307823379; 51.909952100863443
971;Sp Kr�gerweg;Kr�gerweg;;;;;;;;7.655739148655347; 51.924892114560187
972;Sp Vinzenzweg;Vinzenzweg;;;;;;;;7.638098477290411; 51.971733073572658
973;Sp Rehhagen;Rehhagen;805;2;2 - Wohngebietsspielplatz;B/C;;;;7.628892545559687; 51.898966503611554
974;Sp Alte Furt;Alte Furt;846;2;2 - Wohngebietsspielplatz;B/C;;;ja;7.606965885853413; 51.884462872517226
975;Sp Martinischule;Martinischule;776;2;2 - Wohngebietsspielplatz;B/c;;;;7.632015751689661; 51.965505806243414
976;Sp Am Spieker;Am Spieker;1522;2;2 - Wohngebietsspielplatz;B/C;;;;7.557047903260918; 51.994155547358758
977;Sp In Der Au;In Der Au;900;2;2 - Wohngebietsspielplatz;B/C;;;;7.61490366169593; 52.03824366241323
978;Sp Fritz-Reuter-Strasse;Fritz-Reuter-Strasse;2092;2;2 - Wohngebietsspielplatz;B/C;;;;7.613966588071955; 52.033666764911864
979;Sp Am Roggenkamp;Am Roggenkamp;2919;3;3 - Alle Altersklassen;A;integriert;;ja;7.671083201065712; 51.901984789969489
980;Sp Nottulner Landweg;Nottulner Landweg;2000;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.535511813804865; 51.948194205973792
